node,system,frequency,cluster_id,cluster_size,viz_x,viz_y
BL15,body,12,1,39,0.856867,0.509056
BL23,body,12,1,39,0.915728,0.461779
KI6,body,11,1,39,1.704754,0.166414
BL62,body,10,1,39,1.007324,0.311444
EX-HN1,body,10,1,39,1.598557,0.131806
EX-HN3,body,10,1,39,2.160005,-0.074372
LR3,body,10,1,39,1.571369,0.053502
KI3,body,9,1,39,1.491380,0.022428
ANMIAN,body,7,1,39,1.636497,0.051097
BL18,body,7,1,39,0.646620,0.803404
BL20,body,6,1,39,0.866110,0.481218
KI1,body,5,1,39,1.909481,-0.163310
LI4,body,4,1,39,1.761042,0.034702
TAIYANG,body,3,1,39,1.996903,-0.063508
GB20,body,2,1,39,2.158356,-0.088777
GB43,body,2,1,39,1.254233,0.337508
BG13,body,1,1,39,1.688406,0.201670
GB19,body,1,1,39,1.532904,0.065664
GB25,body,1,1,39,0.845109,0.494993
GB34,body,1,1,39,1.911684,-0.191289
GB35,body,1,1,39,1.686873,0.044570
GV29,body,1,1,39,1.475187,0.072184
HT5,body,1,1,39,1.480740,0.039063
KI9,body,1,1,39,1.579727,0.179195
LR14,body,1,1,39,0.907992,0.358689
LR2,body,1,1,39,1.363515,0.282597
PC7,body,1,1,39,1.498431,0.266226
SP4,body,1,1,39,1.645734,0.048140
ST21,body,1,1,39,2.024353,0.068762
ST40,body,1,1,39,1.795954,-0.094207
TE6,body,1,1,39,1.134098,0.398528
EAR_SHENMEN,ear,17,2,21,2.556489,-0.226702
EAR_HEART,ear,10,2,21,2.845985,-0.403826
EAR_KIDNEY,ear,9,2,21,2.761189,-0.380693
EAR_SPLEEN,ear,9,2,21,2.808430,-0.362898
EAR_LIVER,ear,8,2,21,3.016106,-0.275830
EAR_SUBCORTEX,ear,7,2,21,2.806049,-0.133935
EAR_SYMPATHETIC,ear,6,2,21,2.614411,-0.307978
EAR_OCCIPUT,ear,5,2,21,2.700349,-0.360253
EAR_ENDOCRINE,ear,3,2,21,3.027628,-0.212781
EX-HN5,body,3,2,21,2.197993,-0.227312
EAR_GALLBLADDER,ear,2,2,21,3.384177,-0.427958
LI10,body,2,2,21,2.050404,-0.128952
TE17,body,2,2,21,2.021358,0.085189
EAR_BRAIN,ear,1,2,21,2.088332,-0.115380
EAR_CORTICAL_AREAS,ear,1,2,21,2.844821,-0.141213
EAR_HYPOPHYSIS,ear,1,2,21,2.560967,-0.158868
EAR_LARGE_INTESTINE,ear,1,2,21,3.153001,-0.476931
EAR_LUNG,ear,1,2,21,2.673192,-0.350422
EAR_SANJIAO,ear,1,2,21,2.964944,-0.339508
EAR_SMALL_INTESTINE,ear,1,2,21,3.197990,-0.383066
EAR_STOMACH,ear,1,2,21,3.142224,-0.404440
YINTANG,body,9,3,15,1.733810,-0.108919
CV12,body,8,3,15,1.228111,0.323014
CV6,body,6,3,15,1.285938,0.315536
CV4,body,5,3,15,1.616558,0.002316
CV10,body,4,3,15,2.347880,-0.329099
ST25,body,3,3,15,1.198482,0.211609
CV13,body,1,3,15,1.677660,0.091602
CV14,body,1,3,15,0.913912,0.432130
CV15,body,1,3,15,0.991927,0.500987
CV17,body,1,3,15,1.062413,0.202574
CV24,body,1,3,15,0.920047,0.325711
KI17,body,1,3,15,2.033833,-0.152302
ST24,body,1,3,15,2.285109,-0.387425
ST30,body,1,3,15,2.018777,-0.238372
ST31,body,1,3,15,1.916393,-0.146230
