node,system,frequency,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16
BL62,body,10,-0.426834,-0.186562,-0.328264,0.071516,0.641048,-0.118153,-0.170417,-0.020831,0.024115,0.681532,0.389422,0.008835,-0.487541,-0.309902,-0.412977,0.581822
EAR_HEART,ear,10,-0.180482,-0.631754,0.457788,0.314182,0.819844,-0.073949,0.903465,-0.974067,-0.324277,0.904910,0.423302,0.840853,-0.770844,-1.222373,-0.220804,0.793150
EX-HN1,body,10,-0.152473,-0.768721,-0.098575,0.300539,0.657540,0.284738,-0.247552,-0.137251,-0.388107,1.061260,0.091095,0.638359,-0.701954,-0.641212,0.025638,0.596537
EX-HN3,body,10,-0.546327,-0.977222,0.351353,0.833086,0.286942,0.178678,-0.192914,-0.512458,-0.199407,1.399003,-0.064431,0.422630,-0.561952,-0.643443,-0.473132,0.663160
LR3,body,10,-0.136215,-0.328792,0.181347,0.117762,0.944597,0.055076,-0.521146,-0.444175,0.150265,1.062413,0.111908,0.345410,-0.528187,-0.292735,-0.224751,0.655442
EAR_KIDNEY,ear,9,-0.467677,-0.692033,0.383801,0.176991,0.646931,-0.068479,0.912061,-0.683264,-0.122200,1.051532,0.561981,0.443111,-0.792884,-1.508337,-0.405101,0.788654
EAR_SPLEEN,ear,9,-0.033120,-0.674912,0.298388,-0.290453,0.851361,0.094568,0.970727,-1.012109,0.032956,1.211629,0.314847,0.308157,-0.768160,-1.350946,-0.200301,0.842597
KI3,body,9,0.071546,-0.201425,-0.109687,0.565036,0.903446,0.225158,-0.665192,-0.641277,0.003160,0.983271,0.076086,0.290536,-0.544886,-0.394705,-0.392582,0.545408
YINTANG,body,9,0.334771,-0.586816,0.172904,0.879228,0.629175,0.000860,0.342286,-0.531790,-0.001269,-0.057196,0.646095,0.468054,-0.636226,-0.675949,-0.184265,0.902177
CV12,body,8,0.175441,-0.426994,0.227305,0.760139,0.399247,-0.358557,0.391257,-0.646077,0.564448,0.257778,-0.212831,0.977307,-0.407071,-0.674210,0.104315,0.694740
EAR_LIVER,ear,8,-0.280002,-0.617601,0.525637,-0.024578,0.668691,-0.265377,0.937852,-0.924939,-0.063229,0.908279,0.312162,0.376233,-0.667369,-1.435640,-0.534136,0.790101
ANMIAN,body,7,0.028700,-0.273051,-0.071797,0.094058,1.255981,0.072490,0.016379,-0.631851,-0.331048,0.373111,0.094473,0.147297,-0.872652,-0.510525,0.119853,0.692655
BL18,body,7,-0.696240,-0.010762,0.395265,0.556770,0.550925,0.623283,-0.418404,-0.098351,0.528821,0.347984,0.244431,-0.037840,-0.047983,-0.181056,0.173237,0.192703
EAR_SUBCORTEX,ear,7,0.048266,-1.156668,0.508043,0.263640,0.974476,-0.446737,1.225128,-1.001640,-0.295728,0.874738,0.203672,0.689891,-0.477293,-1.197501,-0.338918,0.779476
BL20,body,6,-0.156851,0.337645,-0.193355,0.657655,0.401496,-0.288345,-0.226588,0.025612,0.266375,0.854655,0.476482,0.257393,-0.340322,-0.381746,-0.350053,0.448142
CV6,body,6,0.259424,-0.207214,0.204893,0.427453,0.531815,-0.237071,0.414583,-0.265102,0.620296,0.112591,-0.161090,0.528759,-0.707497,-0.210829,0.168856,0.586018
EAR_SYMPATHETIC,ear,6,0.116133,-0.815084,0.202194,0.054511,0.819905,-0.236826,0.680615,-0.871077,0.122684,0.947376,0.201399,0.807676,-0.733624,-1.324734,0.106718,0.632081
CV4,body,5,0.394083,-0.552940,0.199078,0.639433,0.698706,-0.284789,0.117302,-0.680924,0.342550,0.454638,-0.384839,0.359326,-0.708188,-0.382222,-0.043664,0.796766
EAR_OCCIPUT,ear,5,-0.253029,-0.748435,0.944588,0.308493,0.747763,-0.025694,1.291553,-0.969689,-0.083875,0.953575,0.203175,0.714366,-0.523871,-1.252549,-0.024622,0.612047
GV14,body,5,-0.346567,0.344448,0.116029,0.129185,0.660239,0.171660,0.215306,0.489394,0.466026,0.229809,0.052545,0.187204,-0.364673,-0.152588,0.680988,0.436772
KI1,body,5,-0.087089,-0.321287,-0.466106,0.571518,0.882813,-0.158262,-0.791900,-0.695505,0.144982,1.273679,0.249530,0.554601,-1.085021,-0.574979,-0.262137,0.609967
CV10,body,4,0.690173,-0.747429,0.681425,0.519415,0.902739,-0.368103,0.561181,-0.812823,0.658602,0.401124,-0.004090,0.916291,-0.706371,-0.743003,0.227610,1.133743
GV11,body,4,-0.564567,0.090282,0.038359,0.587047,0.814750,0.082577,0.191940,0.458019,0.176465,-0.225463,-0.106107,0.383289,-0.414274,-0.067561,0.413868,0.409162
GV16,body,4,-0.350856,0.299131,0.004012,0.356387,0.471285,-0.232979,0.320017,0.148339,0.426118,0.217364,-0.096402,0.303560,-0.157617,-0.148708,0.445051,0.635153
GV17,body,4,-0.464116,0.408602,0.047311,0.392259,0.730338,-0.355120,-0.054846,0.275480,0.269140,0.089903,0.194389,0.090253,-0.181686,-0.243444,0.480610,0.686861
