node,system,frequency,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16
BL25,body,1,-0.772270,0.453349,0.100049,0.548660,0.809204,-0.019612,0.497099,0.643063,0.352314,-0.058753,-0.251387,-0.061853,-0.264131,0.043119,-0.078873,0.423270
BL27,body,1,-0.616672,0.406837,0.463452,0.326528,0.920971,0.144515,0.353484,0.640485,0.207282,0.218648,-0.151043,-0.230456,-0.392675,0.096590,0.146727,0.201489
BL28,body,1,-0.698570,0.820169,0.078247,0.422138,0.629916,0.011296,0.228554,0.671134,0.423730,0.326136,-0.242564,-0.092653,-0.286494,-0.079069,0.001268,0.449745
BL29,body,1,-0.482747,0.374361,0.308917,0.282655,0.651483,-0.038531,-0.097695,0.806343,0.224980,0.250653,0.155325,0.075958,-0.574011,-0.017012,-0.085210,0.414968
BL3,body,1,-0.713114,0.555687,0.252121,0.621397,0.871401,-0.012769,0.254459,0.806266,0.298015,0.155268,-0.094988,-0.040217,-0.364095,-0.009968,-0.222393,0.263994
BL30,body,1,-0.691767,0.371605,0.016909,0.120194,0.825430,0.029003,0.649525,0.650649,0.273023,0.208799,-0.259207,-0.002587,-0.241659,-0.121093,0.508461,0.261645
BL31,body,1,-0.804418,0.505274,0.164552,0.587117,0.988865,0.092152,0.262939,0.663001,-0.052706,0.257295,0.121677,0.241066,-0.348571,0.439160,-0.296919,0.134667
BL32,body,1,-0.793704,0.494552,0.414898,0.361080,0.703741,-0.119363,0.155716,0.674851,0.549814,0.230643,0.168223,-0.080275,-0.282859,-0.200016,0.040099,0.019250
BL33,body,1,-0.441940,0.670013,0.342353,0.303744,0.527108,-0.297641,0.129646,0.582211,0.533143,0.337938,0.216689,0.381080,-0.253811,0.383300,0.109837,0.606330
BL34,body,1,-0.394732,0.484938,0.560107,0.556991,0.645392,0.214836,0.449747,0.388495,0.289379,0.265962,-0.158449,0.277802,-0.361249,-0.047291,0.048393,0.214080
BL35,body,1,-0.335208,0.157333,0.009883,0.121329,0.682989,-0.131131,0.281038,0.483509,0.114727,0.484700,-0.039575,0.021931,-0.413860,0.103462,-0.183705,0.468408
BL36,body,1,-0.792675,0.458868,0.063569,0.500932,0.878863,0.200626,0.488364,0.646985,0.514247,0.310967,-0.148701,-0.114323,-0.223288,0.178122,-0.015452,0.225158
