source,target,weight
EAR_LIVER,HT7,3
EAR_SHENMEN,SISHENCONG,3
EAR_SPLEEN,PC6,3
EAR_SPLEEN,SP6,3
EAR_SUBCORTEX,EAR_SYMPATHETIC,3
EAR_SYMPATHETIC,PC6,3
EAR_SYMPATHETIC,SP6,3
EAR_SYMPATHETIC,YINTANG,3
EX-HN1,GV24,3
EX-HN1,ST36,3
EX-HN22,GV24,3
EX-HN22,LI4,3
EX-HN22,LR3,3
EX-HN22,ST36,3
EX-HN5,HT7,3
GV11,GV14,3
GV11,GV17,3
GV14,GV16,3
GV14,GV17,3
GV14,GV4,3
GV16,GV17,3
GV17,GV24,3
GV20,GV4,3
GV20,LI4,3
GV24,GV4,3
GV24,SISHENCONG,3
HT7,KI1,3
KI1,SP6,3
KI3,KI6,3
KI6,SISHENCONG,3
KI6,YINTANG,3
PC6,ST25,3
SISHENCONG,TAIYANG,3
SP6,TAIYANG,3
ANMIAN,EAR_SHENMEN,2
ANMIAN,LR3,2
BL13,BL15,2
BL13,BL18,2
BL13,BL20,2
BL13,BL23,2
BL13,BL24,2
BL13,BL26,2
BL13,BL62,2
BL13,GV20,2
BL15,BL40,2
BL15,BL57,2
BL15,CV12,2
BL15,CV4,2
BL15,CV6,2
BL15,GB43,2
BL15,GV10,2
BL15,GV11,2
BL15,GV16,2
BL15,GV17,2
BL15,GV26,2
BL15,GV9,2
BL15,LI4,2
BL15,ST25,2
BL15,YINTANG,2
BL18,BL19,2
BL18,BL40,2
BL18,BL57,2
BL18,BL62,2
BL18,CV4,2
BL18,EX-HN3,2
BL18,GV14,2
BL18,GV24,2
BL18,GV4,2
BL18,KI3,2
BL18,PC6,2
BL18,ST25,2
BL18,ST36,2
BL19,BL20,2
BL19,BL21,2
BL19,BL23,2
BL19,BL24,2
BL19,BL26,2
BL19,BL40,2
BL19,BL57,2
BL19,GV14,2
BL19,GV20,2
BL19,GV24,2
BL19,GV4,2
BL19,HT7,2
BL19,LR3,2
BL19,SP6,2
BL19,ST36,2
BL2,HT7,2
BL2,LI10,2
BL2,PC6,2
BL2,SP6,2
BL2,ST36,2
BL2,TE17,2
BL20,BL40,2
BL20,BL57,2
BL20,CV4,2
BL20,EX-HN1,2
BL20,EX-HN3,2
BL20,GV14,2
BL20,GV24,2
BL20,GV4,2
BL20,KI3,2
BL20,KI6,2
BL20,LR3,2
BL20,PC6,2
BL20,ST25,2
BL21,BL24,2
BL21,BL26,2
BL21,BL40,2
BL21,BL57,2
BL21,CV4,2
BL21,GV14,2
BL21,GV20,2
BL21,GV24,2
BL21,GV4,2
BL21,HT7,2
BL21,LR3,2
BL21,SP6,2
BL21,ST36,2
BL23,BL40,2
BL23,BL57,2
BL23,BL60,2
BL23,CV12,2
BL23,CV4,2
BL23,CV6,2
BL23,EX-HN1,2
BL23,GB43,2
BL23,GV10,2
BL23,GV17,2
BL23,GV26,2
BL23,GV9,2
BL23,ST25,2
BL23,YINTANG,2
BL24,BL40,2
BL24,BL57,2
BL24,BL62,2
BL24,GV14,2
BL24,GV24,2
BL24,GV4,2
BL24,HT7,2
BL24,PC6,2
BL24,SP6,2
BL24,ST25,2
BL26,BL40,2
BL26,BL57,2
BL26,BL62,2
BL26,GV14,2
BL26,GV24,2
BL26,GV4,2
BL26,HT7,2
BL26,PC6,2
BL26,SP6,2
BL26,ST25,2
BL40,BL57,2
BL40,GV14,2
BL40,GV20,2
BL40,GV24,2
BL40,GV4,2
BL57,GV14,2
BL57,GV20,2
BL57,GV24,2
BL57,GV4,2
BL60,BL62,2
BL62,EX-HN1,2
BL62,GV24,2
BL62,KI3,2
BL62,LI4,2
CV10,EAR_SHENMEN,2
CV10,EAR_SYMPATHETIC,2
CV10,GV20,2
CV10,HT7,2
CV10,PC6,2
CV10,YINTANG,2
CV12,EAR_SHENMEN,2
CV12,EAR_SYMPATHETIC,2
CV12,GV14,2
CV12,GV4,2
CV12,LR3,2
CV12,SP6,2
CV12,ST25,2
CV4,EAR_SHENMEN,2
CV4,EAR_SYMPATHETIC,2
CV4,LR3,2
CV4,PC6,2
CV4,ST36,2
CV4,YINTANG,2
CV6,EAR_SHENMEN,2
CV6,EAR_SYMPATHETIC,2
CV6,GV14,2
CV6,GV24,2
CV6,GV4,2
CV6,SP6,2
CV6,ST25,2
CV6,ST36,2
EAR_ENDOCRINE,EAR_KIDNEY,2
EAR_ENDOCRINE,EAR_LIVER,2
EAR_ENDOCRINE,EAR_SPLEEN,2
EAR_ENDOCRINE,EAR_SYMPATHETIC,2
EAR_GALLBLADDER,EAR_HEART,2
EAR_GALLBLADDER,EAR_KIDNEY,2
EAR_GALLBLADDER,EAR_LIVER,2
EAR_GALLBLADDER,EAR_SHENMEN,2
EAR_GALLBLADDER,EAR_SPLEEN,2
EAR_HEART,SISHENCONG,2
EAR_HEART,YINTANG,2
EAR_KIDNEY,SISHENCONG,2
EAR_KIDNEY,YINTANG,2
EAR_LIVER,PC6,2
EAR_LIVER,SISHENCONG,2
EAR_LIVER,SP6,2
EAR_LIVER,YINTANG,2
EAR_SPLEEN,SISHENCONG,2
EAR_SPLEEN,YINTANG,2
EAR_SUBCORTEX,GV20,2
EAR_SUBCORTEX,HT7,2
EAR_SUBCORTEX,PC6,2
EAR_SUBCORTEX,SISHENCONG,2
EAR_SUBCORTEX,SP6,2
EAR_SUBCORTEX,YINTANG,2
EAR_SYMPATHETIC,SISHENCONG,2
EX-HN1,KI3,2
EX-HN1,KI6,2
EX-HN1,LR3,2
EX-HN3,EX-HN5,2
EX-HN3,KI3,2
EX-HN3,KI6,2
EX-HN3,LR3,2
EX-HN3,PC6,2
EX-HN3,ST36,2
EX-HN5,GV20,2
EX-HN5,GV24,2
EX-HN5,KI6,2
GB20,GV20,2
GB20,HT7,2
GB43,KI3,2
GB43,SP6,2
GV10,GV11,2
GV10,GV14,2
GV10,GV16,2
GV10,GV17,2
GV10,GV20,2
GV10,GV24,2
GV10,GV26,2
GV10,GV4,2
GV10,GV9,2
GV11,GV18,2
GV11,GV26,2
GV11,GV4,2
GV11,GV9,2
GV14,GV18,2
GV14,GV26,2
GV14,GV9,2
GV16,GV18,2
GV16,GV26,2
GV16,GV4,2
GV16,GV9,2
GV17,GV18,2
GV17,GV26,2
GV17,GV4,2
GV17,GV9,2
GV18,GV20,2
GV18,GV24,2
GV20,GV26,2
GV20,GV9,2
GV20,KI3,2
GV20,LI10,2
GV20,ST25,2
GV20,TE17,2
GV24,GV26,2
GV24,GV9,2
GV24,KI3,2
GV24,KI6,2
GV24,LR3,2
GV24,ST36,2
GV26,GV4,2
GV26,GV9,2
GV4,GV9,2
HT7,LI10,2
HT7,ST25,2
HT7,TE17,2
KI1,KI3,2
KI1,PC6,2
KI6,LI4,2
LI10,PC6,2
LI10,SP6,2
LI10,ST36,2
LI10,TE17,2
LI4,PC6,2
LI4,SP6,2
LI4,ST36,2
LR3,YINTANG,2
PC6,TAIYANG,2
PC6,TE17,2
SISHENCONG,ST36,2
SP6,ST25,2
SP6,TE17,2
ST25,ST36,2
ST36,TE17,2
TAIYANG,YINTANG,2
ANMIAN,BL15,1
ANMIAN,BL18,1
ANMIAN,BL19,1
ANMIAN,BL20,1
ANMIAN,BL21,1
ANMIAN,BL23,1
ANMIAN,BL24,1
ANMIAN,BL26,1
ANMIAN,BL40,1
ANMIAN,BL57,1
ANMIAN,CV12,1
ANMIAN,CV4,1
ANMIAN,CV6,1
ANMIAN,EAR_HEART,1
ANMIAN,EAR_KIDNEY,1
ANMIAN,EAR_LIVER,1
ANMIAN,EAR_SPLEEN,1
ANMIAN,EAR_SUBCORTEX,1
ANMIAN,EAR_SYMPATHETIC,1
ANMIAN,GB20,1
ANMIAN,GB35,1
ANMIAN,GV14,1
ANMIAN,GV24,1
ANMIAN,GV4,1
ANMIAN,KI9,1
ANMIAN,ST25,1
ANMIAN,ST36,1
ANMIAN,TAIYANG,1
BG13,EX-HN1,1
BG13,GV20,1
BG13,GV24,1
BG13,HT7,1
BG13,PC6,1
BG13,SP6,1
BL10,BL11,1
BL10,BL12,1
BL10,BL13,1
BL10,BL14,1
BL10,BL15,1
BL10,BL16,1
BL10,BL17,1
BL10,BL18,1
BL10,BL19,1
BL10,BL2,1
BL10,BL20,1
BL10,BL21,1
BL10,BL22,1
BL10,BL23,1
BL10,BL24,1
BL10,BL25,1
BL10,BL26,1
BL10,BL27,1
BL10,BL28,1
BL10,BL29,1
BL10,BL3,1
BL10,BL30,1
BL10,BL31,1
BL10,BL32,1
BL10,BL33,1
BL10,BL34,1
BL10,BL35,1
BL10,BL36,1
BL10,BL37,1
BL10,BL38,1
BL10,BL39,1
BL10,BL4,1
BL10,BL40,1
BL10,BL41,1
BL10,BL42,1
BL10,BL43,1
BL10,BL44,1
BL10,BL45,1
BL10,BL46,1
BL10,BL47,1
BL10,BL48,1
BL10,BL49,1
BL10,BL5,1
BL10,BL50,1
BL10,BL51,1
BL10,BL52,1
BL10,BL53,1
BL10,BL54,1
BL10,BL55,1
BL10,BL56,1
BL10,BL57,1
BL10,BL58,1
BL10,BL59,1
BL10,BL6,1
BL10,BL60,1
BL10,BL61,1
BL10,BL62,1
BL10,BL63,1
BL10,BL64,1
BL10,BL65,1
BL10,BL66,1
BL10,BL67,1
BL10,BL7,1
BL10,BL8,1
BL10,BL9,1
BL10,GV1,1
BL10,GV10,1
BL10,GV11,1
BL10,GV12,1
BL10,GV13,1
BL10,GV14,1
BL10,GV15,1
BL10,GV16,1
BL10,GV17,1
BL10,GV18,1
BL10,GV19,1
BL10,GV2,1
BL10,GV20,1
BL10,GV21,1
BL10,GV22,1
BL10,GV23,1
BL10,GV24,1
BL10,GV25,1
BL10,GV26,1
BL10,GV27,1
BL10,GV28,1
BL10,GV3,1
BL10,GV4,1
BL10,GV5,1
BL10,GV6,1
BL10,GV7,1
BL10,GV8,1
BL10,GV9,1
BL11,BL12,1
BL11,BL13,1
BL11,BL14,1
BL11,BL15,1
BL11,BL16,1
BL11,BL17,1
BL11,BL18,1
BL11,BL19,1
BL11,BL2,1
BL11,BL20,1
BL11,BL21,1
BL11,BL22,1
BL11,BL23,1
BL11,BL24,1
BL11,BL25,1
BL11,BL26,1
BL11,BL27,1
BL11,BL28,1
BL11,BL29,1
BL11,BL3,1
BL11,BL30,1
BL11,BL31,1
BL11,BL32,1
BL11,BL33,1
BL11,BL34,1
BL11,BL35,1
BL11,BL36,1
BL11,BL37,1
BL11,BL38,1
BL11,BL39,1
BL11,BL4,1
BL11,BL40,1
BL11,BL41,1
BL11,BL42,1
BL11,BL43,1
BL11,BL44,1
BL11,BL45,1
BL11,BL46,1
BL11,BL47,1
BL11,BL48,1
BL11,BL49,1
BL11,BL5,1
BL11,BL50,1
BL11,BL51,1
BL11,BL52,1
BL11,BL53,1
BL11,BL54,1
BL11,BL55,1
BL11,BL56,1
BL11,BL57,1
BL11,BL58,1
BL11,BL59,1
BL11,BL6,1
BL11,BL60,1
BL11,BL61,1
BL11,BL62,1
BL11,BL63,1
BL11,BL64,1
BL11,BL65,1
BL11,BL66,1
BL11,BL67,1
BL11,BL7,1
BL11,BL8,1
BL11,BL9,1
BL11,GV1,1
BL11,GV10,1
BL11,GV11,1
BL11,GV12,1
BL11,GV13,1
BL11,GV14,1
BL11,GV15,1
BL11,GV16,1
BL11,GV17,1
BL11,GV18,1
BL11,GV19,1
BL11,GV2,1
BL11,GV20,1
BL11,GV21,1
BL11,GV22,1
BL11,GV23,1
BL11,GV24,1
BL11,GV25,1
BL11,GV26,1
BL11,GV27,1
BL11,GV28,1
BL11,GV3,1
BL11,GV4,1
BL11,GV5,1
BL11,GV6,1
BL11,GV7,1
BL11,GV8,1
BL11,GV9,1
BL12,BL13,1
BL12,BL14,1
BL12,BL15,1
BL12,BL16,1
BL12,BL17,1
BL12,BL18,1
BL12,BL19,1
BL12,BL2,1
BL12,BL20,1
BL12,BL21,1
BL12,BL22,1
BL12,BL23,1
BL12,BL24,1
BL12,BL25,1
BL12,BL26,1
BL12,BL27,1
BL12,BL28,1
BL12,BL29,1
BL12,BL3,1
BL12,BL30,1
BL12,BL31,1
BL12,BL32,1
BL12,BL33,1
BL12,BL34,1
BL12,BL35,1
BL12,BL36,1
BL12,BL37,1
BL12,BL38,1
BL12,BL39,1
BL12,BL4,1
BL12,BL40,1
BL12,BL41,1
BL12,BL42,1
BL12,BL43,1
BL12,BL44,1
BL12,BL45,1
BL12,BL46,1
BL12,BL47,1
BL12,BL48,1
BL12,BL49,1
BL12,BL5,1
BL12,BL50,1
BL12,BL51,1
BL12,BL52,1
BL12,BL53,1
BL12,BL54,1
BL12,BL55,1
BL12,BL56,1
BL12,BL57,1
BL12,BL58,1
BL12,BL59,1
BL12,BL6,1
BL12,BL60,1
BL12,BL61,1
BL12,BL62,1
BL12,BL63,1
BL12,BL64,1
BL12,BL65,1
BL12,BL66,1
BL12,BL67,1
BL12,BL7,1
BL12,BL8,1
BL12,BL9,1
BL12,GV1,1
BL12,GV10,1
BL12,GV11,1
BL12,GV12,1
BL12,GV13,1
BL12,GV14,1
BL12,GV15,1
BL12,GV16,1
BL12,GV17,1
BL12,GV18,1
BL12,GV19,1
BL12,GV2,1
BL12,GV20,1
BL12,GV21,1
BL12,GV22,1
BL12,GV23,1
BL12,GV24,1
BL12,GV25,1
BL12,GV26,1
BL12,GV27,1
BL12,GV28,1
BL12,GV3,1
BL12,GV4,1
BL12,GV5,1
BL12,GV6,1
BL12,GV7,1
BL12,GV8,1
BL12,GV9,1
BL13,BL14,1
BL13,BL16,1
BL13,BL17,1
BL13,BL19,1
BL13,BL2,1
BL13,BL21,1
BL13,BL22,1
BL13,BL25,1
BL13,BL27,1
BL13,BL28,1
BL13,BL29,1
BL13,BL3,1
BL13,BL30,1
BL13,BL31,1
BL13,BL32,1
BL13,BL33,1
BL13,BL34,1
BL13,BL35,1
BL13,BL36,1
BL13,BL37,1
BL13,BL38,1
BL13,BL39,1
BL13,BL4,1
BL13,BL40,1
BL13,BL41,1
BL13,BL42,1
BL13,BL43,1
BL13,BL44,1
BL13,BL45,1
BL13,BL46,1
BL13,BL47,1
BL13,BL48,1
BL13,BL49,1
BL13,BL5,1
BL13,BL50,1
BL13,BL51,1
BL13,BL52,1
BL13,BL53,1
BL13,BL54,1
BL13,BL55,1
BL13,BL56,1
BL13,BL57,1
BL13,BL58,1
BL13,BL59,1
BL13,BL6,1
BL13,BL60,1
BL13,BL61,1
BL13,BL63,1
BL13,BL64,1
BL13,BL65,1
BL13,BL66,1
BL13,BL67,1
BL13,BL7,1
BL13,BL8,1
BL13,BL9,1
BL13,GV1,1
BL13,GV10,1
BL13,GV11,1
BL13,GV12,1
BL13,GV13,1
BL13,GV14,1
BL13,GV15,1
BL13,GV16,1
BL13,GV17,1
BL13,GV18,1
BL13,GV19,1
BL13,GV2,1
BL13,GV21,1
BL13,GV22,1
BL13,GV23,1
BL13,GV24,1
BL13,GV25,1
BL13,GV26,1
BL13,GV27,1
BL13,GV28,1
BL13,GV3,1
BL13,GV4,1
BL13,GV5,1
BL13,GV6,1
BL13,GV7,1
BL13,GV8,1
BL13,GV9,1
BL13,HT7,1
BL13,KI6,1
BL13,PC6,1
BL13,SP6,1
BL13,ST25,1
BL13,YINTANG,1
BL14,BL15,1
BL14,BL16,1
BL14,BL17,1
BL14,BL18,1
BL14,BL19,1
BL14,BL2,1
