source,target,weight
BL17,GV22,1
BL17,GV23,1
BL17,GV24,1
BL17,GV25,1
BL17,GV26,1
BL17,GV27,1
BL17,GV28,1
BL17,GV3,1
BL17,GV4,1
BL17,GV5,1
BL17,GV6,1
BL17,GV7,1
BL17,GV8,1
BL17,GV9,1
BL18,BL2,1
BL18,BL22,1
BL18,BL25,1
BL18,BL27,1
BL18,BL28,1
BL18,BL29,1
BL18,BL3,1
BL18,BL30,1
BL18,BL31,1
BL18,BL32,1
BL18,BL33,1
BL18,BL34,1
BL18,BL35,1
BL18,BL36,1
BL18,BL37,1
BL18,BL38,1
BL18,BL39,1
BL18,BL4,1
BL18,BL41,1
BL18,BL42,1
BL18,BL43,1
BL18,BL44,1
BL18,BL45,1
BL18,BL46,1
BL18,BL47,1
BL18,BL48,1
BL18,BL49,1
BL18,BL5,1
BL18,BL50,1
BL18,BL51,1
BL18,BL52,1
BL18,BL53,1
BL18,BL54,1
BL18,BL55,1
BL18,BL56,1
BL18,BL58,1
BL18,BL59,1
BL18,BL6,1
BL18,BL60,1
BL18,BL61,1
BL18,BL63,1
BL18,BL64,1
BL18,BL65,1
BL18,BL66,1
BL18,BL67,1
BL18,BL7,1
BL18,BL8,1
BL18,BL9,1
BL18,CV12,1
BL18,CV6,1
BL18,EX-HN1,1
BL18,EX-HN22,1
BL18,GB25,1
BL18,GB43,1
BL18,GV1,1
BL18,GV10,1
BL18,GV11,1
BL18,GV12,1
BL18,GV13,1
BL18,GV15,1
BL18,GV16,1
BL18,GV17,1
BL18,GV18,1
BL18,GV19,1
BL18,GV2,1
BL18,GV21,1
BL18,GV22,1
BL18,GV23,1
BL18,GV25,1
BL18,GV26,1
BL18,GV27,1
BL18,GV28,1
BL18,GV3,1
BL18,GV5,1
BL18,GV6,1
BL18,GV7,1
BL18,GV8,1
BL18,GV9,1
BL18,KI6,1
BL18,LI4,1
BL18,LR14,1
BL18,LR2,1
BL18,TE6,1
BL18,YINTANG,1
BL19,BL2,1
BL19,BL22,1
BL19,BL25,1
BL19,BL27,1
BL19,BL28,1
BL19,BL29,1
BL19,BL3,1
BL19,BL30,1
BL19,BL31,1
BL19,BL32,1
BL19,BL33,1
BL19,BL34,1
BL19,BL35,1
BL19,BL36,1
BL19,BL37,1
BL19,BL38,1
BL19,BL39,1
BL19,BL4,1
BL19,BL41,1
BL19,BL42,1
BL19,BL43,1
BL19,BL44,1
BL19,BL45,1
BL19,BL46,1
BL19,BL47,1
BL19,BL48,1
BL19,BL49,1
BL19,BL5,1
BL19,BL50,1
BL19,BL51,1
BL19,BL52,1
BL19,BL53,1
BL19,BL54,1
BL19,BL55,1
BL19,BL56,1
BL19,BL58,1
BL19,BL59,1
BL19,BL6,1
BL19,BL60,1
BL19,BL61,1
BL19,BL62,1
BL19,BL63,1
BL19,BL64,1
BL19,BL65,1
BL19,BL66,1
BL19,BL67,1
BL19,BL7,1
BL19,BL8,1
BL19,BL9,1
BL19,CV12,1
BL19,CV4,1
BL19,CV6,1
BL19,GV1,1
BL19,GV10,1
BL19,GV11,1
BL19,GV12,1
BL19,GV13,1
BL19,GV15,1
BL19,GV16,1
BL19,GV17,1
BL19,GV18,1
BL19,GV19,1
BL19,GV2,1
BL19,GV21,1
BL19,GV22,1
BL19,GV23,1
BL19,GV25,1
BL19,GV26,1
BL19,GV27,1
BL19,GV28,1
BL19,GV3,1
BL19,GV5,1
BL19,GV6,1
BL19,GV7,1
BL19,GV8,1
BL19,GV9,1
BL19,HT5,1
BL19,KI3,1
BL19,PC6,1
BL19,ST25,1
BL2,BL20,1
BL2,BL21,1
BL2,BL22,1
BL2,BL23,1
BL2,BL24,1
BL2,BL25,1
BL2,BL26,1
BL2,BL27,1
BL2,BL28,1
BL2,BL29,1
BL2,BL3,1
BL2,BL30,1
BL2,BL31,1
BL2,BL32,1
BL2,BL33,1
BL2,BL34,1
BL2,BL35,1
BL2,BL36,1
BL2,BL37,1
BL2,BL38,1
BL2,BL39,1
BL2,BL4,1
BL2,BL40,1
BL2,BL41,1
BL2,BL42,1
BL2,BL43,1
BL2,BL44,1
BL2,BL45,1
BL2,BL46,1
BL2,BL47,1
BL2,BL48,1
BL2,BL49,1
BL2,BL5,1
BL2,BL50,1
BL2,BL51,1
BL2,BL52,1
BL2,BL53,1
BL2,BL54,1
BL2,BL55,1
BL2,BL56,1
BL2,BL57,1
BL2,BL58,1
BL2,BL59,1
BL2,BL6,1
BL2,BL60,1
BL2,BL61,1
BL2,BL62,1
BL2,BL63,1
BL2,BL64,1
BL2,BL65,1
BL2,BL66,1
BL2,BL67,1
BL2,BL7,1
BL2,BL8,1
BL2,BL9,1
BL2,EAR_HEART,1
BL2,EAR_KIDNEY,1
BL2,EAR_SHENMEN,1
BL2,EAR_SPLEEN,1
BL2,EAR_SYMPATHETIC,1
BL2,GV1,1
BL2,GV10,1
BL2,GV11,1
BL2,GV12,1
BL2,GV13,1
BL2,GV14,1
BL2,GV15,1
BL2,GV16,1
BL2,GV17,1
BL2,GV18,1
BL2,GV19,1
BL2,GV2,1
BL2,GV21,1
BL2,GV22,1
BL2,GV23,1
BL2,GV24,1
BL2,GV25,1
BL2,GV26,1
BL2,GV27,1
BL2,GV28,1
BL2,GV3,1
BL2,GV4,1
BL2,GV5,1
BL2,GV6,1
BL2,GV7,1
BL2,GV8,1
BL2,GV9,1
BL20,BL22,1
BL20,BL25,1
BL20,BL27,1
BL20,BL28,1
BL20,BL29,1
BL20,BL3,1
BL20,BL30,1
BL20,BL31,1
BL20,BL32,1
BL20,BL33,1
BL20,BL34,1
BL20,BL35,1
BL20,BL36,1
BL20,BL37,1
BL20,BL38,1
BL20,BL39,1
BL20,BL4,1
BL20,BL41,1
BL20,BL42,1
BL20,BL43,1
BL20,BL44,1
BL20,BL45,1
BL20,BL46,1
BL20,BL47,1
BL20,BL48,1
BL20,BL49,1
BL20,BL5,1
BL20,BL50,1
BL20,BL51,1
BL20,BL52,1
BL20,BL53,1
BL20,BL54,1
BL20,BL55,1
BL20,BL56,1
BL20,BL58,1
BL20,BL59,1
BL20,BL6,1
BL20,BL60,1
BL20,BL61,1
BL20,BL63,1
BL20,BL64,1
BL20,BL65,1
BL20,BL66,1
BL20,BL67,1
BL20,BL7,1
BL20,BL8,1
BL20,BL9,1
BL20,CV12,1
BL20,CV6,1
BL20,EX-HN22,1
BL20,GB43,1
BL20,GV1,1
BL20,GV10,1
BL20,GV11,1
BL20,GV12,1
BL20,GV13,1
BL20,GV15,1
BL20,GV16,1
BL20,GV17,1
BL20,GV18,1
BL20,GV19,1
BL20,GV2,1
BL20,GV21,1
BL20,GV22,1
BL20,GV23,1
BL20,GV25,1
BL20,GV26,1
BL20,GV27,1
BL20,GV28,1
BL20,GV3,1
BL20,GV5,1
BL20,GV6,1
BL20,GV7,1
BL20,GV8,1
BL20,GV9,1
BL20,LR2,1
BL20,TE6,1
BL20,YINTANG,1
BL21,BL22,1
BL21,BL25,1
BL21,BL27,1
BL21,BL28,1
BL21,BL29,1
BL21,BL3,1
BL21,BL30,1
BL21,BL31,1
BL21,BL32,1
BL21,BL33,1
BL21,BL34,1
BL21,BL35,1
BL21,BL36,1
BL21,BL37,1
BL21,BL38,1
BL21,BL39,1
BL21,BL4,1
BL21,BL41,1
BL21,BL42,1
BL21,BL43,1
BL21,BL44,1
BL21,BL45,1
BL21,BL46,1
BL21,BL47,1
BL21,BL48,1
BL21,BL49,1
BL21,BL5,1
BL21,BL50,1
BL21,BL51,1
BL21,BL52,1
BL21,BL53,1
BL21,BL54,1
BL21,BL55,1
BL21,BL56,1
BL21,BL58,1
BL21,BL59,1
BL21,BL6,1
BL21,BL60,1
BL21,BL61,1
BL21,BL62,1
BL21,BL63,1
BL21,BL64,1
BL21,BL65,1
BL21,BL66,1
BL21,BL67,1
BL21,BL7,1
BL21,BL8,1
BL21,BL9,1
BL21,CV12,1
BL21,CV6,1
BL21,EX-HN1,1
BL21,GV1,1
BL21,GV10,1
BL21,GV11,1
BL21,GV12,1
BL21,GV13,1
BL21,GV15,1
BL21,GV16,1
BL21,GV17,1
BL21,GV18,1
BL21,GV19,1
BL21,GV2,1
BL21,GV21,1
BL21,GV22,1
BL21,GV23,1
BL21,GV25,1
BL21,GV26,1
BL21,GV27,1
BL21,GV28,1
BL21,GV3,1
BL21,GV5,1
BL21,GV6,1
BL21,GV7,1
BL21,GV8,1
BL21,GV9,1
BL21,KI3,1
BL21,PC6,1
BL21,ST25,1
BL22,BL23,1
BL22,BL24,1
BL22,BL25,1
BL22,BL26,1
BL22,BL27,1
BL22,BL28,1
BL22,BL29,1
BL22,BL3,1
BL22,BL30,1
BL22,BL31,1
BL22,BL32,1
BL22,BL33,1
BL22,BL34,1
BL22,BL35,1
BL22,BL36,1
BL22,BL37,1
BL22,BL38,1
BL22,BL39,1
BL22,BL4,1
BL22,BL40,1
BL22,BL41,1
BL22,BL42,1
BL22,BL43,1
BL22,BL44,1
BL22,BL45,1
BL22,BL46,1
BL22,BL47,1
BL22,BL48,1
BL22,BL49,1
BL22,BL5,1
BL22,BL50,1
BL22,BL51,1
BL22,BL52,1
BL22,BL53,1
BL22,BL54,1
BL22,BL55,1
BL22,BL56,1
BL22,BL57,1
BL22,BL58,1
BL22,BL59,1
BL22,BL6,1
BL22,BL60,1
BL22,BL61,1
BL22,BL62,1
BL22,BL63,1
BL22,BL64,1
BL22,BL65,1
BL22,BL66,1
BL22,BL67,1
BL22,BL7,1
BL22,BL8,1
BL22,BL9,1
BL22,GV1,1
BL22,GV10,1
BL22,GV11,1
BL22,GV12,1
BL22,GV13,1
BL22,GV14,1
BL22,GV15,1
BL22,GV16,1
BL22,GV17,1
BL22,GV18,1
BL22,GV19,1
BL22,GV2,1
BL22,GV20,1
BL22,GV21,1
BL22,GV22,1
BL22,GV23,1
BL22,GV24,1
BL22,GV25,1
BL22,GV26,1
BL22,GV27,1
BL22,GV28,1
BL22,GV3,1
BL22,GV4,1
BL22,GV5,1
BL22,GV6,1
BL22,GV7,1
BL22,GV8,1
BL22,GV9,1
BL23,BL25,1
BL23,BL27,1
BL23,BL28,1
BL23,BL29,1
BL23,BL3,1
BL23,BL30,1
BL23,BL31,1
BL23,BL32,1
BL23,BL33,1
BL23,BL34,1
BL23,BL35,1
BL23,BL36,1
BL23,BL37,1
BL23,BL38,1
BL23,BL39,1
BL23,BL4,1
BL23,BL41,1
BL23,BL42,1
BL23,BL43,1
BL23,BL44,1
BL23,BL45,1
BL23,BL46,1
BL23,BL47,1
BL23,BL48,1
BL23,BL49,1
BL23,BL5,1
BL23,BL50,1
BL23,BL51,1
BL23,BL52,1
BL23,BL53,1
BL23,BL54,1
BL23,BL55,1
BL23,BL56,1
BL23,BL58,1
BL23,BL59,1
BL23,BL6,1
BL23,BL61,1
BL23,BL63,1
BL23,BL64,1
BL23,BL65,1
BL23,BL66,1
BL23,BL67,1
BL23,BL7,1
BL23,BL8,1
BL23,BL9,1
BL23,CV14,1
BL23,CV15,1
BL23,CV17,1
BL23,CV24,1
BL23,EX-HN22,1
BL23,EX-HN3,1
BL23,GB25,1
BL23,GV1,1
BL23,GV12,1
BL23,GV13,1
BL23,GV15,1
BL23,GV18,1
BL23,GV19,1
BL23,GV2,1
BL23,GV21,1
BL23,GV22,1
BL23,GV23,1
BL23,GV25,1
BL23,GV27,1
BL23,GV28,1
BL23,GV3,1
BL23,GV5,1
BL23,GV6,1
BL23,GV7,1
BL23,GV8,1
BL23,KI1,1
BL23,LI4,1
BL23,LR14,1
BL23,LR2,1
BL23,PC7,1
BL23,SISHENCONG,1
BL23,TE6,1
BL24,BL25,1
BL24,BL27,1
BL24,BL28,1
BL24,BL29,1
BL24,BL3,1
BL24,BL30,1
BL24,BL31,1
BL24,BL32,1
BL24,BL33,1
BL24,BL34,1
BL24,BL35,1
BL24,BL36,1
BL24,BL37,1
BL24,BL38,1
BL24,BL39,1
BL24,BL4,1
BL24,BL41,1
BL24,BL42,1
BL24,BL43,1
BL24,BL44,1
BL24,BL45,1
BL24,BL46,1
BL24,BL47,1
BL24,BL48,1
BL24,BL49,1
BL24,BL5,1
BL24,BL50,1
BL24,BL51,1
BL24,BL52,1
BL24,BL53,1
BL24,BL54,1
BL24,BL55,1
BL24,BL56,1
BL24,BL58,1
BL24,BL59,1
BL24,BL6,1
BL24,BL60,1
BL24,BL61,1
BL24,BL63,1
BL24,BL64,1
BL24,BL65,1
BL24,BL66,1
BL24,BL67,1
BL24,BL7,1
BL24,BL8,1
BL24,BL9,1
BL24,CV12,1
BL24,CV4,1
BL24,CV6,1
BL24,GV1,1
BL24,GV10,1
BL24,GV11,1
BL24,GV12,1
BL24,GV13,1
BL24,GV15,1
BL24,GV16,1
BL24,GV17,1
BL24,GV18,1
BL24,GV19,1
BL24,GV2,1
BL24,GV21,1
BL24,GV22,1
BL24,GV23,1
BL24,GV25,1
BL24,GV26,1
BL24,GV27,1
BL24,GV28,1
BL24,GV3,1
BL24,GV5,1
BL24,GV6,1
BL24,GV7,1
BL24,GV8,1
BL24,GV9,1
BL24,KI6,1
BL24,LR3,1
BL24,ST36,1
BL24,YINTANG,1
BL25,BL26,1
BL25,BL27,1
BL25,BL28,1
BL25,BL29,1
BL25,BL3,1
BL25,BL30,1
BL25,BL31,1
BL25,BL32,1
BL25,BL33,1
BL25,BL34,1
BL25,BL35,1
BL25,BL36,1
BL25,BL37,1
BL25,BL38,1
BL25,BL39,1
BL25,BL4,1
BL25,BL40,1
BL25,BL41,1
BL25,BL42,1
BL25,BL43,1
BL25,BL44,1
BL25,BL45,1
BL25,BL46,1
BL25,BL47,1
BL25,BL48,1
BL25,BL49,1
BL25,BL5,1
BL25,BL50,1
BL25,BL51,1
BL25,BL52,1
BL25,BL53,1
BL25,BL54,1
BL25,BL55,1
BL25,BL56,1
BL25,BL57,1
BL25,BL58,1
BL25,BL59,1
BL25,BL6,1
BL25,BL60,1
BL25,BL61,1
BL25,BL62,1
BL25,BL63,1
BL25,BL64,1
BL25,BL65,1
BL25,BL66,1
BL25,BL67,1
BL25,BL7,1
BL25,BL8,1
BL25,BL9,1
BL25,GV1,1
BL25,GV10,1
BL25,GV11,1
BL25,GV12,1
BL25,GV13,1
BL25,GV14,1
BL25,GV15,1
BL25,GV16,1
BL25,GV17,1
BL25,GV18,1
BL25,GV19,1
BL25,GV2,1
BL25,GV20,1
BL25,GV21,1
BL25,GV22,1
BL25,GV23,1
BL25,GV24,1
BL25,GV25,1
BL25,GV26,1
BL25,GV27,1
BL25,GV28,1
BL25,GV3,1
BL25,GV4,1
BL25,GV5,1
BL25,GV6,1
BL25,GV7,1
BL25,GV8,1
BL25,GV9,1
BL26,BL27,1
BL26,BL28,1
BL26,BL29,1
BL26,BL3,1
BL26,BL30,1
BL26,BL31,1
BL26,BL32,1
BL26,BL33,1
BL26,BL34,1
BL26,BL35,1
BL26,BL36,1
BL26,BL37,1
BL26,BL38,1
BL26,BL39,1
BL26,BL4,1
BL26,BL41,1
BL26,BL42,1
BL26,BL43,1
BL26,BL44,1
BL26,BL45,1
BL26,BL46,1
BL26,BL47,1
BL26,BL48,1
BL26,BL49,1
BL26,BL5,1
BL26,BL50,1
BL26,BL51,1
BL26,BL52,1
BL26,BL53,1
BL26,BL54,1
BL26,BL55,1
BL26,BL56,1
BL26,BL58,1
BL26,BL59,1
BL26,BL6,1
BL26,BL60,1
BL26,BL61,1
BL26,BL63,1
BL26,BL64,1
BL26,BL65,1
BL26,BL66,1
BL26,BL67,1
BL26,BL7,1
BL26,BL8,1
BL26,BL9,1
BL26,CV12,1
BL26,CV4,1
BL26,CV6,1
BL26,GV1,1
BL26,GV10,1
BL26,GV11,1
BL26,GV12,1
BL26,GV13,1
BL26,GV15,1
BL26,GV16,1
BL26,GV17,1
BL26,GV18,1
BL26,GV19,1
BL26,GV2,1
BL26,GV21,1
BL26,GV22,1
BL26,GV23,1
BL26,GV25,1
BL26,GV26,1
BL26,GV27,1
BL26,GV28,1
BL26,GV3,1
BL26,GV5,1
BL26,GV6,1
BL26,GV7,1
BL26,GV8,1
BL26,GV9,1
BL26,KI6,1
BL26,LR3,1
BL26,ST36,1
BL26,YINTANG,1
BL27,BL28,1
BL27,BL29,1
BL27,BL3,1
BL27,BL30,1
BL27,BL31,1
BL27,BL32,1
BL27,BL33,1
BL27,BL34,1
BL27,BL35,1
BL27,BL36,1
BL27,BL37,1
BL27,BL38,1
BL27,BL39,1
BL27,BL4,1
BL27,BL40,1
BL27,BL41,1
BL27,BL42,1
BL27,BL43,1
BL27,BL44,1
BL27,BL45,1
BL27,BL46,1
BL27,BL47,1
BL27,BL48,1
BL27,BL49,1
BL27,BL5,1
BL27,BL50,1
BL27,BL51,1
BL27,BL52,1
BL27,BL53,1
BL27,BL54,1
BL27,BL55,1
BL27,BL56,1
BL27,BL57,1
BL27,BL58,1
BL27,BL59,1
BL27,BL6,1
BL27,BL60,1
BL27,BL61,1
BL27,BL62,1
BL27,BL63,1
BL27,BL64,1
BL27,BL65,1
BL27,BL66,1
BL27,BL67,1
BL27,BL7,1
BL27,BL8,1
BL27,BL9,1
BL27,GV1,1
BL27,GV10,1
BL27,GV11,1
BL27,GV12,1
BL27,GV13,1
BL27,GV14,1
BL27,GV15,1
BL27,GV16,1
BL27,GV17,1
BL27,GV18,1
BL27,GV19,1
BL27,GV2,1
BL27,GV20,1
BL27,GV21,1
BL27,GV22,1
BL27,GV23,1
BL27,GV24,1
BL27,GV25,1
BL27,GV26,1
BL27,GV27,1
BL27,GV28,1
BL27,GV3,1
BL27,GV4,1
BL27,GV5,1
BL27,GV6,1
BL27,GV7,1
BL27,GV8,1
BL27,GV9,1
BL28,BL29,1
BL28,BL3,1
BL28,BL30,1
BL28,BL31,1
BL28,BL32,1
BL28,BL33,1
BL28,BL34,1
BL28,BL35,1
BL28,BL36,1
BL28,BL37,1
BL28,BL38,1
BL28,BL39,1
BL28,BL4,1
BL28,BL40,1
BL28,BL41,1
BL28,BL42,1
BL28,BL43,1
BL28,BL44,1
BL28,BL45,1
BL28,BL46,1
BL28,BL47,1
BL28,BL48,1
BL28,BL49,1
BL28,BL5,1
BL28,BL50,1
BL28,BL51,1
BL28,BL52,1
BL28,BL53,1
BL28,BL54,1
BL28,BL55,1
BL28,BL56,1
BL28,BL57,1
BL28,BL58,1
BL28,BL59,1
BL28,BL6,1
BL28,BL60,1
BL28,BL61,1
BL28,BL62,1
BL28,BL63,1
BL28,BL64,1
BL28,BL65,1
BL28,BL66,1
BL28,BL67,1
BL28,BL7,1
BL28,BL8,1
BL28,BL9,1
BL28,GV1,1
BL28,GV10,1
BL28,GV11,1
BL28,GV12,1
BL28,GV13,1
BL28,GV14,1
BL28,GV15,1
BL28,GV16,1
BL28,GV17,1
BL28,GV18,1
BL28,GV19,1
BL28,GV2,1
BL28,GV20,1
BL28,GV21,1
BL28,GV22,1
BL28,GV23,1
BL28,GV24,1
BL28,GV25,1
BL28,GV26,1
BL28,GV27,1
BL28,GV28,1
BL28,GV3,1
BL28,GV4,1
BL28,GV5,1
BL28,GV6,1
BL28,GV7,1
BL28,GV8,1
BL28,GV9,1
BL29,BL3,1
BL29,BL30,1
BL29,BL31,1
BL29,BL32,1
BL29,BL33,1
BL29,BL34,1
BL29,BL35,1
BL29,BL36,1
BL29,BL37,1
BL29,BL38,1
BL29,BL39,1
BL29,BL4,1
BL29,BL40,1
BL29,BL41,1
BL29,BL42,1
BL29,BL43,1
BL29,BL44,1
BL29,BL45,1
BL29,BL46,1
BL29,BL47,1
BL29,BL48,1
BL29,BL49,1
BL29,BL5,1
BL29,BL50,1
BL29,BL51,1
BL29,BL52,1
BL29,BL53,1
BL29,BL54,1
BL29,BL55,1
BL29,BL56,1
BL29,BL57,1
BL29,BL58,1
BL29,BL59,1
BL29,BL6,1
BL29,BL60,1
BL29,BL61,1
BL29,BL62,1
BL29,BL63,1
BL29,BL64,1
BL29,BL65,1
BL29,BL66,1
BL29,BL67,1
BL29,BL7,1
BL29,BL8,1
BL29,BL9,1
BL29,GV1,1
BL29,GV10,1
BL29,GV11,1
BL29,GV12,1
BL29,GV13,1
BL29,GV14,1
BL29,GV15,1
BL29,GV16,1
BL29,GV17,1
BL29,GV18,1
BL29,GV19,1
BL29,GV2,1
BL29,GV20,1
BL29,GV21,1
BL29,GV22,1
BL29,GV23,1
BL29,GV24,1
BL29,GV25,1
BL29,GV26,1
BL29,GV27,1
BL29,GV28,1
BL29,GV3,1
BL29,GV4,1
BL29,GV5,1
BL29,GV6,1
BL29,GV7,1
BL29,GV8,1
BL29,GV9,1
BL3,BL30,1
BL3,BL31,1
BL3,BL32,1
BL3,BL33,1
BL3,BL34,1
BL3,BL35,1
BL3,BL36,1
BL3,BL37,1
BL3,BL38,1
BL3,BL39,1
BL3,BL4,1
BL3,BL40,1
BL3,BL41,1
BL3,BL42,1
BL3,BL43,1
BL3,BL44,1
BL3,BL45,1
BL3,BL46,1
BL3,BL47,1
BL3,BL48,1
BL3,BL49,1
BL3,BL5,1
BL3,BL50,1
BL3,BL51,1
BL3,BL52,1
BL3,BL53,1
BL3,BL54,1
BL3,BL55,1
BL3,BL56,1
BL3,BL57,1
BL3,BL58,1
BL3,BL59,1
BL3,BL6,1
BL3,BL60,1
BL3,BL61,1
BL3,BL62,1
BL3,BL63,1
BL3,BL64,1
BL3,BL65,1
BL3,BL66,1
BL3,BL67,1
BL3,BL7,1
BL3,BL8,1
BL3,BL9,1
BL3,GV1,1
BL3,GV10,1
BL3,GV11,1
BL3,GV12,1
BL3,GV13,1
BL3,GV14,1
BL3,GV15,1
BL3,GV16,1
BL3,GV17,1
BL3,GV18,1
BL3,GV19,1
BL3,GV2,1
BL3,GV20,1
BL3,GV21,1
BL3,GV22,1
BL3,GV23,1
BL3,GV24,1
BL3,GV25,1
BL3,GV26,1
BL3,GV27,1
BL3,GV28,1
BL3,GV3,1
BL3,GV4,1
BL3,GV5,1
BL3,GV6,1
BL3,GV7,1
BL3,GV8,1
BL3,GV9,1
BL30,BL31,1
BL30,BL32,1
BL30,BL33,1
BL30,BL34,1
BL30,BL35,1
BL30,BL36,1
BL30,BL37,1
BL30,BL38,1
BL30,BL39,1
BL30,BL4,1
BL30,BL40,1
BL30,BL41,1
BL30,BL42,1
BL30,BL43,1
BL30,BL44,1
BL30,BL45,1
BL30,BL46,1
BL30,BL47,1
BL30,BL48,1
BL30,BL49,1
BL30,BL5,1
BL30,BL50,1
BL30,BL51,1
BL30,BL52,1
BL30,BL53,1
BL30,BL54,1
BL30,BL55,1
BL30,BL56,1
BL30,BL57,1
BL30,BL58,1
BL30,BL59,1
BL30,BL6,1
BL30,BL60,1
BL30,BL61,1
BL30,BL62,1
BL30,BL63,1
BL30,BL64,1
BL30,BL65,1
BL30,BL66,1
BL30,BL67,1
BL30,BL7,1
BL30,BL8,1
BL30,BL9,1
BL30,GV1,1
BL30,GV10,1
BL30,GV11,1
BL30,GV12,1
BL30,GV13,1
BL30,GV14,1
BL30,GV15,1
BL30,GV16,1
BL30,GV17,1
BL30,GV18,1
BL30,GV19,1
BL30,GV2,1
BL30,GV20,1
BL30,GV21,1
BL30,GV22,1
BL30,GV23,1
BL30,GV24,1
BL30,GV25,1
BL30,GV26,1
BL30,GV27,1
BL30,GV28,1
BL30,GV3,1
BL30,GV4,1
BL30,GV5,1
BL30,GV6,1
BL30,GV7,1
BL30,GV8,1
BL30,GV9,1
BL31,BL32,1
BL31,BL33,1
BL31,BL34,1
BL31,BL35,1
BL31,BL36,1
BL31,BL37,1
BL31,BL38,1
BL31,BL39,1
BL31,BL4,1
BL31,BL40,1
BL31,BL41,1
BL31,BL42,1
BL31,BL43,1
BL31,BL44,1
BL31,BL45,1
BL31,BL46,1
BL31,BL47,1
BL31,BL48,1
BL31,BL49,1
BL31,BL5,1
BL31,BL50,1
BL31,BL51,1
BL31,BL52,1
BL31,BL53,1
BL31,BL54,1
BL31,BL55,1
BL31,BL56,1
BL31,BL57,1
BL31,BL58,1
BL31,BL59,1
BL31,BL6,1
BL31,BL60,1
BL31,BL61,1
BL31,BL62,1
BL31,BL63,1
BL31,BL64,1
BL31,BL65,1
BL31,BL66,1
BL31,BL67,1
BL31,BL7,1
BL31,BL8,1
BL31,BL9,1
BL31,GV1,1
BL31,GV10,1
BL31,GV11,1
BL31,GV12,1
BL31,GV13,1
BL31,GV14,1
BL31,GV15,1
BL31,GV16,1
BL31,GV17,1
BL31,GV18,1
BL31,GV19,1
BL31,GV2,1
BL31,GV20,1
BL31,GV21,1
BL31,GV22,1
BL31,GV23,1
BL31,GV24,1
BL31,GV25,1
BL31,GV26,1
BL31,GV27,1
BL31,GV28,1
BL31,GV3,1
BL31,GV4,1
BL31,GV5,1
BL31,GV6,1
BL31,GV7,1
BL31,GV8,1
BL31,GV9,1
BL32,BL33,1
BL32,BL34,1
BL32,BL35,1
BL32,BL36,1
BL32,BL37,1
BL32,BL38,1
BL32,BL39,1
BL32,BL4,1
BL32,BL40,1
BL32,BL41,1
BL32,BL42,1
BL32,BL43,1
BL32,BL44,1
BL32,BL45,1
BL32,BL46,1
BL32,BL47,1
BL32,BL48,1
BL32,BL49,1
BL32,BL5,1
BL32,BL50,1
BL32,BL51,1
BL32,BL52,1
BL32,BL53,1
BL32,BL54,1
BL32,BL55,1
BL32,BL56,1
BL32,BL57,1
BL32,BL58,1
BL32,BL59,1
BL32,BL6,1
BL32,BL60,1
BL32,BL61,1
BL32,BL62,1
BL32,BL63,1
BL32,BL64,1
BL32,BL65,1
BL32,BL66,1
BL32,BL67,1
BL32,BL7,1
BL32,BL8,1
BL32,BL9,1
BL32,GV1,1
BL32,GV10,1
BL32,GV11,1
BL32,GV12,1
BL32,GV13,1
BL32,GV14,1
BL32,GV15,1
BL32,GV16,1
BL32,GV17,1
BL32,GV18,1
BL32,GV19,1
BL32,GV2,1
BL32,GV20,1
BL32,GV21,1
BL32,GV22,1
BL32,GV23,1
BL32,GV24,1
BL32,GV25,1
BL32,GV26,1
BL32,GV27,1
BL32,GV28,1
BL32,GV3,1
BL32,GV4,1
BL32,GV5,1
BL32,GV6,1
BL32,GV7,1
BL32,GV8,1
BL32,GV9,1
BL33,BL34,1
BL33,BL35,1
BL33,BL36,1
BL33,BL37,1
BL33,BL38,1
BL33,BL39,1
BL33,BL4,1
BL33,BL40,1
BL33,BL41,1
BL33,BL42,1
BL33,BL43,1
BL33,BL44,1
BL33,BL45,1
BL33,BL46,1
BL33,BL47,1
BL33,BL48,1
BL33,BL49,1
BL33,BL5,1
BL33,BL50,1
BL33,BL51,1
BL33,BL52,1
BL33,BL53,1
BL33,BL54,1
BL33,BL55,1
BL33,BL56,1
BL33,BL57,1
BL33,BL58,1
BL33,BL59,1
BL33,BL6,1
BL33,BL60,1
BL33,BL61,1
BL33,BL62,1
BL33,BL63,1
BL33,BL64,1
BL33,BL65,1
BL33,BL66,1
BL33,BL67,1
BL33,BL7,1
BL33,BL8,1
BL33,BL9,1
BL33,GV1,1
BL33,GV10,1
BL33,GV11,1
BL33,GV12,1
BL33,GV13,1
BL33,GV14,1
BL33,GV15,1
BL33,GV16,1
BL33,GV17,1
BL33,GV18,1
BL33,GV19,1
BL33,GV2,1
BL33,GV20,1
BL33,GV21,1
BL33,GV22,1
BL33,GV23,1
BL33,GV24,1
BL33,GV25,1
BL33,GV26,1
BL33,GV27,1
BL33,GV28,1
BL33,GV3,1
BL33,GV4,1
BL33,GV5,1
BL33,GV6,1
BL33,GV7,1
BL33,GV8,1
BL33,GV9,1
BL34,BL35,1
BL34,BL36,1
BL34,BL37,1
BL34,BL38,1
BL34,BL39,1
BL34,BL4,1
BL34,BL40,1
BL34,BL41,1
BL34,BL42,1
BL34,BL43,1
BL34,BL44,1
BL34,BL45,1
