sheet,no,first_author,year,treatment,acupoints_raw,acupoints_list,standard_acupoints_list,dropped_acupoints_list
2012_acupuncture_SR,7,Hwang,2007,Acupressure,multiple acupoints(경혈 명시X),"[""multiple acupoints(경혈 명시X)""]",[],"[""multiple acupoints(경혈 명시X)""]"
2012_acupuncture_SR,10,Kaiser-Pagliarini,2009,Needle acupuncture,경혈 명시X,"[""경혈 명시X""]",[],"[""경혈 명시X""]"
