paper_no,first_author,year,original_acupoint,standard_acupoint,system,action,reason
5,Lai Y,2011,HT7,HT7,body,keep,표준 체침 경혈 코드
5,Lai Y,2011,SP6,SP6,body,keep,표준 체침 경혈 코드
5,Lai Y,2011,PC6,PC6,body,keep,표준 체침 경혈 코드
5,Lai Y,2011,CV4,CV4,body,keep,표준 체침 경혈 코드
5,Lai Y,2011,CV6,CV6,body,keep,표준 체침 경혈 코드
5,Lai Y,2011,CV10,CV10,body,keep,표준 체침 경혈 코드
5,Lai Y,2011,CV12,CV12,body,keep,표준 체침 경혈 코드
5,Lai Y,2011,Sishencong,SISHENCONG,body,map,명명된 체침/기혈 표준화
5,Lai Y,2011,Yintang,YINTANG,body,map,명명된 체침/기혈 표준화
5,Lai Y,2011,Ear points: heart,EAR_HEART,ear,map,이침 경혈 표준화
5,Lai Y,2011,kidney,EAR_KIDNEY,ear,map,이침 경혈 표준화
5,Lai Y,2011,liver,EAR_LIVER,ear,map,이침 경혈 표준화
5,Lai Y,2011,shenmen,EAR_SHENMEN,ear,map,이침 경혈 표준화
5,Lai Y,2011,spleen,EAR_SPLEEN,ear,map,이침 경혈 표준화
5,Lai Y,2011,subcortex,EAR_SUBCORTEX,ear,map,이침 경혈 표준화
5,Lai Y,2011,sympathetic,EAR_SYMPATHETIC,ear,map,이침 경혈 표준화
6,Li PF,2013,GV20,GV20,body,keep,표준 체침 경혈 코드
6,Li PF,2013,GV11,GV11,body,keep,표준 체침 경혈 코드
6,Li PF,2013,GV14,GV14,body,keep,표준 체침 경혈 코드
6,Li PF,2013,GV16,GV16,body,keep,표준 체침 경혈 코드
6,Li PF,2013,GV17,GV17,body,keep,표준 체침 경혈 코드
6,Li PF,2013,GV18,GV18,body,keep,표준 체침 경혈 코드
6,Li PF,2013,GV24,GV24,body,keep,표준 체침 경혈 코드
7,Li XY,2010,GV20,GV20,body,keep,표준 체침 경혈 코드
7,Li XY,2010,HT7,HT7,body,keep,표준 체침 경혈 코드
7,Li XY,2010,GB20,GB20,body,keep,표준 체침 경혈 코드
7,Li XY,2010,Anmian,ANMIAN,body,map,명명된 체침/기혈 표준화
7,Li XY,2010,Sishencong,SISHENCONG,body,map,명명된 체침/기혈 표준화
8,Liu JY,2013,SP6,SP6,body,keep,표준 체침 경혈 코드
8,Liu JY,2013,ST36,ST36,body,keep,표준 체침 경혈 코드
8,Liu JY,2013,Sishencong,SISHENCONG,body,map,명명된 체침/기혈 표준화
8,Liu JY,2013,Taiyang,TAIYANG,body,map,명명된 체침/기혈 표준화
9,Lu YY,2008,GV20,GV20,body,keep,표준 체침 경혈 코드
9,Lu YY,2008,HT7,HT7,body,keep,표준 체침 경혈 코드
9,Lu YY,2008,BL23,BL23,body,keep,표준 체침 경혈 코드
9,Lu YY,2008,KI3,KI3,body,keep,표준 체침 경혈 코드
9,Lu YY,2008,PC6,PC6,body,keep,표준 체침 경혈 코드
9,Lu YY,2008,GV11,GV11,body,keep,표준 체침 경혈 코드
9,Lu YY,2008,GV16,GV16,body,keep,표준 체침 경혈 코드
9,Lu YY,2008,GV24,GV24,body,keep,표준 체침 경혈 코드
10,Luo WZ,2006,GV20,GV20,body,keep,표준 체침 경혈 코드
10,Luo WZ,2006,HT7,HT7,body,keep,표준 체침 경혈 코드
10,Luo WZ,2006,LI4,LI4,body,keep,표준 체침 경혈 코드
10,Luo WZ,2006,LR3. Yintang,LR3,body,split,마침표로 연결된 체침 경혈 분리
10,Luo WZ,2006,LR3. Yintang,YINTANG,body,split,마침표로 연결된 체침 경혈 분리
11,Song Q,2007,GV20,GV20,body,keep,표준 체침 경혈 코드
11,Song Q,2007,Sishencong,SISHENCONG,body,map,명명된 체침/기혈 표준화
12,Su D,2011,HT7,HT7,body,keep,표준 체침 경혈 코드
12,Su D,2011,SP6,SP6,body,keep,표준 체침 경혈 코드
12,Su D,2011,ST36,ST36,body,keep,표준 체침 경혈 코드
12,Su D,2011,HT5,HT5,body,keep,표준 체침 경혈 코드
12,Su D,2011,BL15,BL15,body,keep,표준 체침 경혈 코드
12,Su D,2011,BL20 or BL15,,unknown,drop,or 표현으로 특정 경혈 확정 불가
12,Su D,2011,BL19,BL19,body,keep,표준 체침 경혈 코드
12,Su D,2011,PC7 or KI1,,unknown,drop,or 표현으로 특정 경혈 확정 불가
12,Su D,2011,KI3,KI3,body,keep,표준 체침 경혈 코드
12,Su D,2011,LR3,LR3,body,keep,표준 체침 경혈 코드
13,Su J,2014,HT7,HT7,body,keep,표준 체침 경혈 코드
13,Su J,2014,SP6,SP6,body,keep,표준 체침 경혈 코드
