sheet,no,first_author,year,treatment,acupoints_raw,acupoints_list
2020_acupuncture_SR,1,Chung,2015,Electroacupuncture/ Minimal Acupuncture/ invasive (Streitberger needle),"EX-HN3, GV20, Ear Shenmen(bilateral), EX-HN1(EX-HN2은 논문 오타인듯), PC6, SP6, EX-HN22","[""EX-HN3"", ""GV20"", ""Ear Shenmen(bilateral)"", ""EX-HN1(EX-HN2은 논문 오타인듯)"", ""PC6"", ""SP6"", ""EX-HN22""]"
2020_acupuncture_SR,2,Chung,2018,Electroacupuncture/ waitlist,"EX-HN1, EX-HN22, PC6, HT7, SP6, Ear Shenmen, EX-HN3(unilaterally), GV20","[""EX-HN1"", ""EX-HN22"", ""PC6"", ""HT7"", ""SP6"", ""Ear Shenmen"", ""EX-HN3(unilaterally)"", ""GV20""]"
2020_acupuncture_SR,3,Dong,2018,Acupuncture/nontherapeutic appoint,"EX-HN3, GV20, DU14","[""EX-HN3"", ""GV20"", ""DU14""]"
2020_acupuncture_SR,4,Fu,2017,Acupuncture/ invasive (Streitberger needle),"BL23(bilateral), BL18(bilateral), LR14(unilateral), GB25(unilateral)","[""BL23(bilateral)"", ""BL18(bilateral)"", ""LR14(unilateral)"", ""GB25(unilateral)""]"
2020_acupuncture_SR,5,Guo,2017,Acupuncture/nontherapeutic appoint,"GV20, DU24, EX-HN1, BG13, HT7, PC6, SP6","[""GV20"", ""DU24"", ""EX-HN1"", ""BG13"", ""HT7"", ""PC6"", ""SP6""]"
2020_acupuncture_SR,6,Lo,2013,Magnetic Pearls Attachment/non- penetrating stimulation,"(Ear) Shenmen, Heart, Kidney, Spleen, Liver, Subcortex, Occiput","[""(Ear) Shenmen"", ""Heart"", ""Kidney"", ""Spleen"", ""Liver"", ""Subcortex"", ""Occiput""]"
2020_acupuncture_SR,7,Luo,2017,Acupuncture/nontherapeutic appoint,"GV20(bilateral), EX-HN3, LI4, LR3, HT7, SP6, EX-HN22, BL18, BL15","[""GV20(bilateral)"", ""EX-HN3"", ""LI4"", ""LR3"", ""HT7"", ""SP6"", ""EX-HN22"", ""BL18"", ""BL15""]"
2020_acupuncture_SR,8,Yeung,2009,Electroacupuncture/ invasive (Streitberger needle),"EX-HN3, GV20,  Ear Shenmen(bilateral), EX-HN1, EX-HN22","[""EX-HN3"", ""GV20"", ""Ear Shenmen(bilateral)"", ""EX-HN1"", ""EX-HN22""]"
2020_acupuncture_SR,9,Yeung,2011,Electroacupuncture/ Minimal Acupuncture/ invasive (Streitberger needle),"EX-HN3, GV20,  Ear Shenmen(bilateral), EX-HN1, EX-HN22","[""EX-HN3"", ""GV20"", ""Ear Shenmen(bilateral)"", ""EX-HN1"", ""EX-HN22""]"
2020_acupuncture_SR,10,Yin,2017,Electroacupuncture/ invasive,"GV20, GV24, GV29, EX-HN22(bilateral), HT7(bilateral), SP6","[""GV20"", ""GV24"", ""GV29"", ""EX-HN22(bilateral)"", ""HT7(bilateral)"", ""SP6""]"
2020_acupuncture_SR,11,Zhang,2019,Acupuncture/nontherapeutic appoint,"RN13, RN12, RN10, RN6, ST36(bilateral), ST25(bilateral), PC6(bilateral)","[""RN13"", ""RN12"", ""RN10"", ""RN6"", ""ST36(bilateral)"", ""ST25(bilateral)"", ""PC6(bilateral)""]"
2020_acupuncture_SR,12,Zhang,2020,Active acupuncture/ invasive (Park Sham Acupuncture),"EX-HN22(bilateral), PC6(bilateral), HT7(bilateral), LI4(bilateral), ST36(bilateral), KI6(bilateral), BL62(bilateral), LR3(bilateral)","[""EX-HN22(bilateral)"", ""PC6(bilateral)"", ""HT7(bilateral)"", ""LI4(bilateral)"", ""ST36(bilateral)"", ""KI6(bilateral)"", ""BL62(bilateral)"", ""LR3(bilateral)""]"
2020_acupuncture_SR,15,Zou,2015,Auricular acupressure/nontherapeutic appoint,"(Ear) Shenmen(TF4), Sympathetic autonomic(AH6a), Subcortex(AT4), Heart(CO15), Endocrine(CO18)","[""(Ear) Shenmen(TF4)"", ""Sympathetic autonomic(AH6a)"", ""Subcortex(AT4)"", ""Heart(CO15)"", ""Endocrine(CO18)""]"
