node,system,frequency,x,y
CV17,body,1,1.062413,0.202574
CV24,body,1,0.920047,0.325711
EAR_BRAIN,ear,1,2.088332,-0.115380
EAR_CORTICAL_AREAS,ear,1,2.844821,-0.141213
EAR_HYPOPHYSIS,ear,1,2.560967,-0.158868
EAR_LARGE_INTESTINE,ear,1,3.153001,-0.476931
EAR_LUNG,ear,1,2.673192,-0.350422
EAR_SANJIAO,ear,1,2.964944,-0.339508
EAR_SMALL_INTESTINE,ear,1,3.197990,-0.383066
EAR_STOMACH,ear,1,3.142224,-0.404440
GB19,body,1,1.532904,0.065664
GB25,body,1,0.845109,0.494993
GB34,body,1,1.911684,-0.191289
GB35,body,1,1.686873,0.044570
GV1,body,1,0.399340,1.603096
GV12,body,1,0.342612,1.658114
GV13,body,1,0.262403,1.893958
GV15,body,1,0.231764,1.712059
GV19,body,1,0.342764,1.596911
GV2,body,1,0.457706,1.325158
GV21,body,1,0.350660,1.587012
GV22,body,1,0.317821,1.802217
GV23,body,1,0.274371,1.637812
GV25,body,1,0.320775,1.675414
GV27,body,1,0.105138,1.704780
GV28,body,1,0.297274,1.576662
GV29,body,1,1.475187,0.072184
GV3,body,1,0.276221,1.788790
GV5,body,1,0.319124,1.612907
GV6,body,1,0.228967,1.620657
GV7,body,1,0.339385,1.632466
GV8,body,1,0.233526,1.606895
HT5,body,1,1.480740,0.039063
KI17,body,1,2.033833,-0.152302
KI9,body,1,1.579727,0.179195
LR14,body,1,0.907992,0.358689
LR2,body,1,1.363515,0.282597
PC7,body,1,1.498431,0.266226
SP4,body,1,1.645734,0.048140
ST21,body,1,2.024353,0.068762
ST24,body,1,2.285109,-0.387425
ST30,body,1,2.018777,-0.238372
ST31,body,1,1.916393,-0.146230
ST40,body,1,1.795954,-0.094207
TE6,body,1,1.134098,0.398528
